name,ingredients,duration,difficulty,img_url,ingredients_processed,removed_stopwords,cleaned_ingredients
Almond Butter Slices,"['grams Almond slices', 'grams Saffron baking powder', 'grams Kerrygold butter, softened', 'grams German # flour', 'grams German Quark (or fromage frais)', 'ml Safflower oil', 'teaspoon salt', 'cups sugar', 'grams Vanilla sugar', 'cup organic whole milk']",45,Easy,https://spoonacular.com/recipeImages/632103-556x370.jpg,"['grams almond slices', 'grams saffron baking powder', 'grams kerrygold butter softened', 'grams german # flour', 'grams german quark (or fromage frais)', 'ml safflower oil', 'teaspoon salt', 'cups sugar', 'grams vanilla sugar', 'cup organic whole milk']",[],"['butter', 'flour', 'salt', 'sugar', 'sugar']"
Almond Coffee Cupcakes with Kahlua Liqueur,"['cup Almond meal - g', 'g Butter, melted', 'cup Kahlua coffee liqueur', 'Egg whites - g', 'chocolate icing', 'cup Icing sugar - g', 'tsp Instant coffee powder', 'tbsp Plain flour, sifted']",45,Very hard,https://spoonacular.com/recipeImages/632115-556x370.jpg,"['cup almond meal - g', 'g butter melted', 'cup kahlua coffee liqueur', 'egg whites - g', 'chocolate icing', 'cup icing sugar - g', 'tsp instant coffee powder', 'tbsp plain flour sifted']",[],"['butter', 'coffee', 'egg', 'sugar', 'coffee', 'flour']"
Almond Horns,"['tablespoons almond extract', 'cups Finely chopped blanched almonds', 'Egg whites', 'cups sugar']",45,Very hard,https://spoonacular.com/recipeImages/632140-556x370.jpg,"['tablespoons almond extract', 'cups finely chopped blanched almonds', 'egg whites', 'cups sugar']",[],"['egg', 'sugar']"
Almond Joy Cake,"['oz. pkg. sliced almonds', 'cup butter at room temperature', 'ounces chocolate chips', 'cups flaked coconut', 'cup evaporated milk', 'layer chocolate cake mix', 'large marshmallows', 'cups sugar']",45,Very hard,https://spoonacular.com/recipeImages/632143-556x370.jpg,"['oz pkg sliced almonds', 'cup butter at room temperature', 'ounces chocolate chips', 'cups flaked coconut', 'cup evaporated milk', 'layer chocolate cake mix', 'large marshmallows', 'cups sugar']",[],"['butter', 'sugar']"
Almond Joy Protein Shake,"['Tablespoon almond butter (or almond flour)', 'cup chocolate almond milk', 'scoop chocolate protein powder', 'cup coconut milk', 'Tablespoon unsweetened shredded coconut']",45,Easy,https://spoonacular.com/recipeImages/794538-556x370.jpg,"['tablespoon almond butter (or almond flour)', 'cup chocolate almond milk', 'scoop chocolate protein powder', 'cup coconut milk', 'tablespoon unsweetened shredded coconut']",[],"['butter, flour']"
Almond Mint Drink,"['almond slivers to garnish', 'cup almonds', 'pieces cardamom', 'cup mint leaves, chopped', 'cup of Sugar', 'tablespoons sugar (adjust according to your taste)', 'quart Water', 'cups water+ a little to soak']",45,Hard,https://spoonacular.com/recipeImages/632151-556x370.jpg,"['almond slivers to garnish', 'cup almonds', 'pieces cardamom', 'cup mint leaves chopped', 'cup of sugar', 'tablespoons sugar (adjust according to your taste)', 'quart water', 'cups water+ a little to soak']",[],"['sugar', 'sugar']"
Almond Nut Butter,"['cup raw almonds', 'tbsp maple syrup', 'tsp ground cinnamon', 'tsp pure vanilla extract', 'oz dark chocolate']",45,Hard,https://spoonacular.com/recipeImages/632155-556x370.jpg,"['cup raw almonds', 'tbsp maple syrup', 'tsp ground cinnamon', 'tsp pure vanilla extract', 'oz dark chocolate']",[],"['syrup', 'cinnamon']"
Almond Plum Cake with Creme Fraiche,"['cup almond paste ( oz)', 'teaspoon baking powder', 'grams Butter', 'cup cake flour', 'Crème fraiche and slivered almond for serving', 'eggs, at room temperature', '¼ cup granulated sugar', 'large plums (oz) halved, pitted and cut into ½ inch wedges', '¼ teaspoon salt', 'vanilla-bean – split lengthwise seeds scraped, pod reserved for another use', 'teaspoon pure vanilla extract']",45,Very hard,https://spoonacular.com/recipeImages/632169-556x370.jpg,"['cup almond paste ( oz)', 'teaspoon baking powder', 'grams butter', 'cup cake flour', 'crème fraiche and slivered almond for serving', 'eggs at room temperature', '¼ cup granulated sugar', 'large plums (oz) halved pitted and cut into ½ inch wedges', '¼ teaspoon salt', 'vanilla-bean – split lengthwise seeds scraped pod reserved for another use', 'teaspoon pure vanilla extract']",[],"['butter', 'flour', 'eggs', 'sugar', 'salt']"
Almond Ricotta Cake,"['cups all purpose flour', 'teaspoon Almond extract', 'cup sliced almonds', 'cup apricot jam', 'teaspoon Baking powder', 'canola oil', 'egg', 'eggs (room temperature)', 'tablespoons lemon juice', 'teaspoons lemon zest', 'tablespoons milk', 'tablespoon orange liqueur (optional)', 'cup %% ricotta cheese', 'teaspoons rum', 'teaspoon Salt', 'cup + tablespoon sugar', 'cups sugar', 'teaspoon vanilla']",45,Hard,https://spoonacular.com/recipeImages/632176-556x370.jpg,"['cups all purpose flour', 'teaspoon almond extract', 'cup sliced almonds', 'cup apricot jam', 'teaspoon baking powder', 'canola oil', 'egg', 'eggs (room temperature)', 'tablespoons lemon juice', 'teaspoons lemon zest', 'tablespoons milk', 'tablespoon orange liqueur (optional)', 'cup %% ricotta cheese', 'teaspoons rum', 'teaspoon salt', 'cup + tablespoon sugar', 'cups sugar', 'teaspoon vanilla']",[],"['flour', 'egg', 'eggs', 'lemon', 'lemon', 'orange', 'cheese', 'salt', 'sugar', 'sugar']"
Almost Guilt Free Mac and Cheese,"['pound Cellantani Pasta (elbow macaroni or small shells pasta)', 'medium Head Cauliflower (chopped and roasted)', 'pound Chicken Breast (sauteed and diced)', 'tablespoons Olive Oil', 'tablespoons Butter (divided)', 'tablespoons Flour', ""tablespoon Coleman's Prepared Mustard (could also use Dijon mustard)"", 'cups Soy Milk', 'medium Yellow Onion (finely diced)', 'Bay Leaves', 'teaspoon Paprika', 'Lemon (juiced)', 'teaspoon Thyme', 'teaspoon Garlic Powder', 'teaspoon Szechuan Peppers (ground - can use more to taste)*', 'Eggs', 'ounces Goat Cheese', 'ounces Shredded Parmesan Cheese', 'ounces Shredded Emmental Cheese (or Swiss cheese)', 'cup Panko Bread Crumbs (or other bread crumbs)', 'Kosher Salt', 'Fresh Ground Black Pepper']",45,Very hard,https://spoonacular.com/recipeImages/632213-556x370.jpg,"['pound cellantani pasta (elbow macaroni or small shells pasta)', 'medium head cauliflower (chopped and roasted)', 'pound chicken breast (sauteed and diced)', 'tablespoons olive oil', 'tablespoons butter (divided)', 'tablespoons flour', ""tablespoon coleman's prepared mustard (could also use dijon mustard)"", 'cups soy milk', 'medium yellow onion (finely diced)', 'bay leaves', 'teaspoon paprika', 'lemon (juiced)', 'teaspoon thyme', 'teaspoon garlic powder', 'teaspoon szechuan peppers (ground - can use more to taste)*', 'eggs', 'ounces goat cheese', 'ounces shredded parmesan cheese', 'ounces shredded emmental cheese (or swiss cheese)', 'cup panko bread crumbs (or other bread crumbs)', 'kosher salt', 'fresh ground black pepper']",[],"['pasta, pasta', 'chicken', 'butter', 'flour', 'mustard, mustard', 'onion', 'paprika', 'lemon', 'thyme', 'garlic', 'peppers', 'eggs', 'cheese', 'cheese', 'cheese, cheese', 'bread, bread', 'salt', 'pepper']"
